"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"1","calvin felder","0.8824","pf","6-7",225,238,49,6,2019,"boston-college"""
"2","jay heath","0.8792","sg","6-3",180,281,48,5,2019,"boston-college"""
"3","julian rishwain","0.8715","sg","6-5",165,329,55,30,2019,"boston-college"""
"4","kamari williams","0.8678","sg","6-7",175,409,70,9,2019,"boston-college"""
"5","makai ashton-langford","0.9848","im","6-3",185,NA,NA,NA,2019,"boston-college"""
"6","derryck thornton","0.9947","sg","6-3",195,NA,NA,NA,2019,"boston-college"""
"7","al-amir dawes","0.9474","cg","6-2",175,108,16,5,2019,"clemson"""
"8","chase hunter","0.9341","cg","6-3",180,127,20,6,2019,"clemson"""
"9","alex hemenway","0.8678","sg","6-3",170,385,66,13,2019,"clemson"""
"10","nick honor","0.8837","im","5-10",180,NA,NA,NA,2019,"clemson"""
"11","tevin mack","0.9781","im","6-6",225,NA,NA,NA,2019,"clemson"""
"12","khavon moore","0.9811","im","6-8",187,NA,NA,NA,2019,"clemson"""
"13","curran scott",NA,"sg","6-4",205,NA,NA,NA,2019,"clemson"""
"14","vernon carey","0.9983","c""","6-10",275,6,3,1,2019,"duke"""
"15","matthew hurt","0.9957","pf","6-9",215,12,2,1,2019,"duke"""
"16","wendell moore","0.9898","sf","6-5",210,29,8,2,2019,"duke"""
"17","cassius stanley","0.987","sg","6-5",180,37,3,4,2019,"duke"""
"18","patrick williams","0.9906","sf","6-6",215,26,7,1,2019,"florida-state"""
"19","balsa koprivica","0.971","c""","7-0",240,77,19,12,2019,"florida-state"""
"20","rayquan evans","0.87","cg","6-4",195,NA,NA,NA,2019,"florida-state"""
"21","nathanael jack","0.8628","sg","6-4",195,NA,NA,NA,2019,"florida-state"""
"22","naheem mcleod","0.8945","c""","7-3",230,197,37,7,2019,"florida-state"""
"23","dominik olejniczak",NA,"sg","7-0",260,NA,NA,NA,2019,"florida-state"""
"24","david didenko","0.8578","pf","6-9",216,NA,NA,NA,2019,"georgia-tech"""
"25","asanti price","0.8278","sg","6-5",175,513,97,11,2019,"georgia-tech"""
"26","bubba parham",NA,"im","5-11",155,NA,NA,NA,2019,"georgia-tech"""
"27","jordan usher","0.9422","sg","6-7",230,NA,NA,NA,2019,"georgia-tech"""
"28","samuell williamson","0.993","sf","6-6",180,19,5,3,2019,"louisville"""
"29","aidan igiehon","0.9794","c""","6-10",235,55,14,1,2019,"louisville"""
"30","david johnson","0.9686","cg","6-5",170,82,13,1,2019,"louisville"""
"31","josh nickelberry","0.9566","sg","6-4",175,101,17,5,2019,"louisville"""
"32","jaelyn withers","0.9348","pf","6-8",215,125,20,3,2019,"louisville"""
"33","quinn slazinski","0.8723","pf","6-8",200,320,62,3,2019,"louisville"""
"34","lamarr kimble","0.8494","sg","6-0",197,NA,NA,NA,2019,"louisville"""
"35","harlond beverly","0.9796","cg","6-4",170,54,9,9,2019,"miami"""
"36","isaiah wong","0.9695","cg","6-2",165,79,12,3,2019,"miami"""
"37","anthony walker","0.8854","pf","6-8",205,226,45,6,2019,"miami"""
"38","filippos gkogkos",NA,"sg","6-3",195,NA,NA,NA,2019,"miami"""
"39","keith stone","0.9621","im","6-8",240,NA,NA,NA,2019,"miami"""
"40","nysier brooks","0.8687","sg","6-11",240,NA,NA,NA,2019,"miami"""
"41","dereon seabron","0.9335","cg","6-6",192,129,21,6,2019,"north-carolina-state"""
"42","a.j. taylor","0.8556","sf","6-7",205,NA,NA,NA,2019,"north-carolina-state"""
"43","jalen lecque","0.9846","cg","6-4",190,41,8,1,2019,"north-carolina-state"""
"44","pat andree",NA,"cg","6-8",225,NA,NA,NA,2019,"north-carolina-state"""
"45","cole anthony","0.9992","cg","6-3",185,4,1,1,2019,"north-carolina"""
"46","armando bacot","0.9904","c""","6-10",240,27,6,6,2019,"north-carolina"""
"47","anthony harris","0.9729","cg","6-3",180,72,10,4,2019,"north-carolina"""
"48","jeremiah francis","0.9067","pg","6-3",190,179,19,4,2019,"north-carolina"""
"49","justin pierce",NA,"im","6-6",203,NA,NA,NA,2019,"north-carolina"""
"50","christian keeling",NA,"pg","6-4",175,NA,NA,NA,2019,"north-carolina"""
"51","gerald drumgoole","0.9376","sf","6-6",195,117,29,4,2019,"pittsburgh"""
"52","karim coulibaly","0.8828","pf","6-8",220,237,48,9,2019,"pittsburgh"""
"53","justin champagnie","0.8808","sf","6-5",180,248,56,4,2019,"pittsburgh"""
"54","ryan murphy","0.8356","sg","6-2",190,NA,NA,NA,2019,"pittsburgh"""
"55","brycen goodine","0.9596","sg","6-4",170,97,15,1,2019,"syracuse"""
"56","quincy guerrier","0.9358","sf","6-7",190,121,30,2,2019,"syracuse"""
"57","jesse edwards","0.8945","c""","6-11",205,198,38,17,2019,"syracuse"""
"58","joseph girard","0.8934","cg","6-1",178,202,29,3,2019,"syracuse"""
"59","john bol ajak","0.8535","c""","6-10",205,480,76,20,2019,"syracuse"""
"60","casey morsell","0.9789","sg","6-2",175,56,6,1,2019,"virginia"""
"61","kadin shedrick","0.9737","c""","6-11",200,68,16,4,2019,"virginia"""
"62","justin mckoy","0.8848","sf","6-8",225,229,52,10,2019,"virginia"""
"63","tomas woldetensae","0.8556","sg","6-5",195,NA,NA,NA,2019,"virginia"""
"64","sam hauser","0.9607","sg","6-8",225,NA,NA,NA,2019,"virginia"""
"65","jalen cone","0.9561","pg","5-11",163,102,9,6,2019,"virginia-tech"""
"66","john ojiako","0.8812","pf","6-10",190,246,52,22,2019,"virginia-tech"""
"67","nahiem alleyne","0.8678","sg","6-3",170,412,71,20,2019,"virginia-tech"""
"68","hunter cattoor","0.8278","pg","6-2",185,511,79,43,2019,"virginia-tech"""
"69","branden johnson",NA,"im","6-8",205,NA,NA,NA,2019,"virginia-tech"""
"70","keve aluma",NA,"pg","6-9",225,NA,NA,NA,2019,"virginia-tech"""
"71","ismael massoud","0.9264","sf","6-8",200,148,36,2,2019,"wake-forest"""
"72","jahcobi neath","0.8786","pg","6-3",170,284,34,5,2019,"wake-forest"""
"73","tariq ingraham","0.8578","pf","6-9",230,461,92,17,2019,"wake-forest"""
"74","ody oguama","0.8228","pf","6-9",190,516,103,13,2019,"wake-forest"""
"75","jordan turner","0.9222","sf","6-6",180,158,40,6,2019,"baylor"""
"76","adam flagler",NA,"im","6-3",170,NA,NA,NA,2019,"baylor"""
"77","jonathan tchamwa tchatchoua",NA,"sf","6-8",230,NA,NA,NA,2019,"baylor"""
"78","caleb grill","0.9111","pg","6-3",180,175,18,8,2019,"iowa-state"""
"79","tre jackson","0.8904","pg","6-1",170,210,24,5,2019,"iowa-state"""
"80","luke anderson","0.8893","pf","6-8",215,212,40,18,2019,"iowa-state"""
"81","marcedus leech","0.8764","sf","6-5",170,297,67,6,2019,"iowa-state"""
"82","rasir bolton","0.8921","im","6-3",170,NA,NA,NA,2019,"iowa-state"""
"83","javan johnson",NA,"pg","6-6",175,NA,NA,NA,2019,"iowa-state"""
"84","jalen wilson","0.98","sf","6-8",215,53,13,8,2019,"kansas"""
"85","tristan enaruna","0.9763","sf","6-9",205,64,15,1,2019,"kansas"""
"86","dajuan harris","0.9633","pg","6-2",160,94,7,1,2019,"kansas"""
"87","christian braun","0.9334","sf","6-5",175,130,32,5,2019,"kansas"""
"88","issac mcbride","0.9293","cg","6-1",170,137,22,1,2019,"kansas"""
"89","isaiah moss","0.855","pg","6-5",205,NA,NA,NA,2019,"kansas"""
"90","dajuan gordon","0.9208","sg","6-3",170,163,29,3,2019,"kansas-state"""
"91","montavious murphy","0.9007","pf","6-8",190,183,35,18,2019,"kansas-state"""
"92","goodnews kpegeol","0.8628","sg","6-6",180,425,75,31,2019,"kansas-state"""
"93","david sloan","0.8278","pg","6-0",200,NA,NA,NA,2019,"kansas-state"""
"94","antonio gordon","0.8278","pf","6-8",195,508,102,4,2019,"kansas-state"""
"95","de&#39;vion harmon","0.9814","pg","6-0",192,47,5,7,2019,"oklahoma"""
"96","jalen hill","0.9291","sf","6-7",180,138,34,2,2019,"oklahoma"""
"97","victor iwuakor","0.9255","c""","6-8",210,152,27,17,2019,"oklahoma"""
