"","x"
"1","boston-college"""
"2","clemson"""
"3","duke"""
"4","florida-state"""
"5","georgia-tech"""
"6","louisville"""
"7","miami"""
"8","north-carolina-state"""
"9","north-carolina"""
"10","notre-dame"""
"11","pittsburgh"""
"12","syracuse"""
"13","virginia"""
"14","virginia-tech"""
"15","wake-forest"""
"16","baylor"""
"17","iowa-state"""
"18","kansas"""
"19","kansas-state"""
"20","oklahoma"""
"21","oklahoma-state"""
"22","tcu"""
"23","texas"""
"24","texas-tech"""
"25","west-virginia"""
"26","illinois"""
"27","indiana"""
"28","iowa"""
"29","maryland"""
"30","michigan-state"""
"31","michigan"""
"32","minnesota"""
"33","nebraska"""
"34","northwestern"""
"35","ohio-state"""
"36","penn-state"""
"37","purdue"""
"38","rutgers"""
"39","wisconsin"""
"40","arizona-state"""
"41","arizona"""
"42","california"""
"43","colorado"""
"44","oregon"""
"45","oregon-state"""
"46","stanford"""
"47","ucla"""
"48","usc"""
"49","utah"""
"50","washington"""
"51","washington-state"""
"52","alabama"""
"53","arkansas"""
"54","auburn"""
"55","florida"""
"56","georgia"""
"57","kentucky"""
"58","lsu"""
"59","mississippi-state"""
"60","missouri"""
"61","ole-miss"""
"62","south-carolina"""
"63","tennessee"""
"64","texas-am"""
"65","vanderbilt"""
"66","albany"""
"67","binghamton"""
"68","hartford"""
"69","maine"""
"70","new-hampshire"""
"71","stony-brook"""
"72","umbc"""
"73","vermont"""
"74","cincinnati"""
"75","east-carolina"""
"76","houston"""
"77","memphis"""
"78","smu"""
"79","south-florida"""
"80","temple"""
"81","tulane"""
"82","tulsa"""
"83","central-florida"""
"84","wichita-state"""
"85","davidson"""
"86","dayton"""
"87","duquesne"""
"88","fordham"""
"89","george-mason"""
"90","george-washington"""
"91","la-salle"""
"92","rhode-island"""
"93","richmond"""
"94","saint-josephs"""
"95","saint-louis"""
"96","saint-bonaventure"""
"97","massachusetts"""
"98","virginia-commonwealth"""
"99","florida-gulf-coast"""
"100","jacksonville"""
