My.Name,kenpom,oddshark,espn,realgm,kenpom_tempo,neutral,espn full,247
abilenechristian,Abilene Christian,abilenechristian,abilenechristian,Abilene Christian Wildcats,abilene+christian,Abilene Christian,Abilene Christian Wildcats,n/a
airforce,Air Force,Air Force,Air Force,Air Force Falcons,air+force,Air Force,Air Force Falcons,air-force
akron,Akron,Akron,Akron,Akron Zips,akron,Akron,Akron Zips,akron
alabama,Alabama,Alabama,Alabama,Alabama Crimson Tide,alabama,Alabama,Alabama Crimson Tide,alabama
alabamaAM,Alabama A&M,alabamaAM,Alabama A&M,Alabama A&M Bulldogs,alabama+a%26m,Alabama A&M,Alabama A&M Bulldogs,aamu
alabamast,Alabama St.,Alabama State,Alabama State,Alabama State Hornets,alabama+st.,Alabama St.,Alabama State Hornets,alabama-state
albany,Albany,Albany,Albany,Albany Great Danes,albany,Albany,Albany Great Danes,albany
alcornst,Alcorn St.,Alcorn State,Alcorn State,Alcorn State Braves,alcorn+st.,Alcorn St.,Alcorn State Braves,alcorn-state
american,American,American,American,American University Eagles,american,American,American Eagles,american
appalachianst,Appalachian St.,Appalachian State,Appalachian State,Appalachian State Mountaineers,appalachian+st.,Appalachian St.,Appalachian State Mountaineers,appalachian-state
arizona,Arizona,Arizona,Arizona,Arizona Wildcats,arizona,Arizona,Arizona Wildcats,arizona
arizonast,Arizona St.,Arizona State,Arizona State,Arizona State Sun Devils,arizona+st.,Arizona St.,Arizona State Sun Devils,arizona-state
arkansas,Arkansas,Arkansas,Arkansas,Arkansas Razorbacks,arkansas,Arkansas,Arkansas Razorbacks,arkansas
arkansaslittlerock,Little Rock,Arkansas-Little Rock,Little Rock,Little Rock Trojans,little+rock,Little Rock,Little Rock Trojans,arkansas-little-rock
arkansaspinebluff,Arkansas Pine Bluff,Arkansas-Pine Bluff,arkansaspinebluff,Arkansas-Pine Bluff Golden Lions,arkansas+pine+bluff,Arkansas Pine Bluff,Arkansas-Pine Bluff Golden Lions,arkansas-pine-bluff
arkansasst,Arkansas St.,Arkansas State,Arkansas State,Arkansas State Red Wolves,arkansas+st.,Arkansas St.,Arkansas State Red Wolves,arkansas-state
army,Army,Army,Army,Army Black Knights,army,Army,Army Black Knights,army
auburn,Auburn,Auburn,Auburn,Auburn Tigers,auburn,Auburn,Auburn Tigers,auburn
austinpeay,Austin Peay,Austin Peay,Austin Peay,Austin Peay Governors,austin+peay,Austin Peay,Austin Peay Governors,austin-peay
ballst,Ball St.,Ball State,Ball State,Ball State Cardinals,ball+st.,Ball St.,Ball State Cardinals,ball-state
baylor,Baylor,Baylor,Baylor,Baylor Bears,baylor,Baylor,Baylor Bears,baylor
belmont,Belmont,Belmont,Belmont,Belmont Bruins,belmont,Belmont,Belmont Bruins,belmont
bethunecookman,Bethune Cookman,bethunecookman,Bethune,Bethune-Cookman Wildcats,bethune+cookman,Bethune Cookman,Bethune-Cookman Wildcats,bethune-cookman
