Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,memphis,17,39,10,24,15,27,13,49,11,16,3,5,27,76
1,wakeforest,19,46,8,19,25,37,13,47,12,10,10,1,26,85
2,marquette,10,35,6,19,14,16,9,43,11,19,9,2,18,52
2,stjohns,14,39,2,12,11,22,9,36,3,17,14,7,17,45
3,gonzaga,24,66,6,15,12,14,18,47,12,15,7,1,15,66
3,stjoes,26,62,12,25,9,11,8,32,17,11,8,8,15,73
4,alabama,22,57,3,14,15,23,14,38,8,10,4,4,27,62
4,pittsburgh,23,57,4,20,21,33,15,43,11,11,2,2,21,71
5,coppinst,15,59,3,14,4,8,10,40,7,15,7,3,21,37
5,xavier,18,49,11,23,15,29,9,40,14,11,7,9,12,62
6,illinoischicago,27,59,7,16,16,25,10,31,15,12,9,5,23,77
6,ucirvine,23,52,8,16,11,17,13,37,12,24,7,2,26,65
7,sandiego,24,62,4,19,16,23,6,43,16,29,5,1,15,68
7,oakland,36,87,12,34,9,14,15,53,24,12,14,6,25,93
8,mercer,19,48,9,22,20,31,8,39,13,20,4,5,21,67
8,ohio,25,63,6,21,12,21,9,35,16,12,10,2,24,64
9,mercer,24,61,5,15,5,6,11,38,16,16,1,6,20,58
9,xavier,27,58,6,14,12,21,10,33,14,8,11,4,12,72
10,illinoischicago,26,57,3,9,11,19,10,32,17,21,11,2,22,66
10,oakland,29,65,5,17,16,23,15,36,12,16,8,4,22,79
11,mountstmarys,28,72,7,19,5,10,14,36,8,9,6,2,29,68
11,newhampshire,29,57,8,18,28,41,18,50,19,14,5,5,16,94
12,ucirvine,24,52,6,19,11,16,5,30,20,17,9,4,25,65
12,sandiego,19,47,7,16,15,20,6,32,12,0,4,0,17,60
13,ohio,17,44,4,13,13,17,10,35,12,17,4,0,12,51
13,coppinst,19,58,5,20,4,4,13,34,13,13,10,5,17,47
14,yale,20,45,5,14,5,8,7,32,14,9,4,1,20,60
14,connecticut,18,38,8,17,10,19,12,39,21,9,5,7,13,70
15,brown,19,63,4,22,9,13,9,42,8,20,7,4,22,51
15,texas,33,77,6,21,17,28,22,84,12,13,8,0,18,89
16,oakland,26,67,2,15,12,15,11,36,7,13,8,9,19,66
16,xavier,25,73,4,17,22,30,25,56,9,13,8,5,17,76
17,georgiast,15,49,3,13,5,8,12,54,9,19,10,6,16,38
17,utah,19,44,0,8,8,13,14,62,13,20,9,5,11,46
18,charleston,22,53,8,22,10,16,9,28,10,13,5,1,23,62
18,auburn,23,59,1,14,19,25,17,40,14,12,7,6,18,66
19,vermont,18,48,4,13,9,13,6,27,14,18,7,0,19,49
19,nevada,28,60,5,12,8,17,12,41,20,13,9,4,17,69
20,illinoischicago,29,70,7,20,10,14,16,41,16,8,8,5,13,75
20,mercer,21,51,10,21,12,16,7,31,17,16,3,5,16,64
21,westernillinois,27,65,8,24,9,10,8,38,17,12,5,2,23,71
21,missourist,29,63,5,14,19,29,16,62,16,14,10,2,16,82
22,sanfrancisco,27,57,1,8,18,31,13,62,14,18,9,3,18,73
22,tennesseemartin,23,71,7,28,11,17,16,57,10,16,9,4,26,62
23,gardnerwebb,31,74,5,26,7,11,14,50,21,22,9,1,23,74
23,southcarolina,26,71,12,26,19,32,18,49,21,14,11,6,18,83
24,elon,22,57,6,19,10,21,8,30,14,14,11,4,24,60
24,idaho,28,65,6,18,22,27,18,47,18,15,7,1,17,84
25,MVSU,16,64,2,22,12,17,16,48,5,17,9,6,29,46
25,richmond,19,64,2,10,22,34,19,53,9,15,10,4,17,62
