"","Game.","Team","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","TR","AST","TO","STL","BLK","PF","PTS"
"1814",1,"kentucky",19,50,6,18,25,32,5,30,9,10,4,3,20,69
"2233",1,"michiganst",22,56,5,26,13,18,7,30,14,16,4,2,22,62
"987",2,"duke",23,64,8,24,14,23,11,30,12,16,11,3,17,68
"1774",2,"kansas",23,50,4,9,16,26,10,40,13,28,11,5,20,66
"1987",3,"louisville",34,63,9,19,10,14,10,40,14,13,8,4,17,87
"2191",3,"miamifl",30,69,10,24,4,11,13,35,12,10,6,4,13,74
"1156",4,"florida",29,69,3,15,13,18,19,45,15,10,7,3,16,74
"2780",4,"northflorida",21,57,11,34,6,10,13,36,13,19,3,0,18,59
"1493",5,"holycross",30,67,7,27,4,5,8,33,15,14,3,0,19,71
"2134",5,"maryland",37,76,5,27,16,24,18,47,15,8,8,8,6,95
"65",6,"alabamast",24,49,9,16,7,12,6,25,14,20,3,1,24,64
"1372",6,"gonzaga",34,59,10,20,17,27,11,34,24,8,11,3,17,95
"204",7,"army",20,64,7,30,7,10,6,26,11,17,9,3,16,54
"4367",7,"villanova",36,69,12,30,13,16,14,54,22,17,9,4,14,97
"3418",8,"setonhall",37,60,9,24,22,32,6,36,20,10,14,5,25,105
"4418",8,"wagner",25,61,5,23,16,26,13,37,12,21,4,0,26,71
"1032",9,"easternillinois",23,57,6,16,8,13,6,30,10,15,5,1,20,60
"3942",9,"texastech",32,58,8,14,13,19,8,40,15,13,7,5,16,85
"2167",10,"memphis",36,66,6,20,19,21,12,42,21,13,8,10,21,97
"3509",10,"southcarolinast",21,58,8,25,14,18,7,25,9,18,2,1,20,64
"1243",11,"fresnost",19,55,9,36,10,14,9,31,14,17,5,7,19,57
"2939",11,"oregon",25,60,1,13,20,27,16,45,11,13,8,2,13,71
"260",12,"baylor",40,71,18,33,7,14,13,51,25,14,6,2,20,105
"564",12,"centralarkansas",22,61,4,23,13,24,8,30,11,15,5,6,19,61
"2338",13,"montanast",24,57,9,19,16,26,9,36,13,15,6,3,31,73
"4229",13,"utahst",20,53,6,18,35,45,11,41,12,9,8,5,23,81
"1728",14,"jacksonville",23,56,5,21,6,12,6,33,10,18,7,1,19,57
"4652",14,"xavier",29,60,4,23,14,24,10,39,11,11,10,2,15,76
"3733",15,"stmarys",24,61,8,18,9,13,13,36,10,15,6,2,20,65
"4593",15,"wisconsin",22,52,5,19,14,20,7,28,8,14,1,4,14,63
"225",16,"auburn",29,58,7,22,18,25,11,41,13,21,6,2,21,83
"1329",16,"georgiasouthern",27,57,5,18,15,21,5,27,8,18,10,2,21,74
