,Game,cover,cover.pred,cover.conf,CResult,Date,Round
1,toledo-ballst,ballst,toledo,0.695278,0,1/3/2020,0.7
2,kentst-bowlinggreen,kentst,kentst,0.538758,1,1/3/2020,0.54
3,manhattan-canisius,manhattan,canisius,0.755625,0,1/3/2020,0.76
4,northernkentucky-detroit,detroit,detroit,0.569235,1,1/3/2020,0.57
5,delaware-drexel,drexel,delaware,0.653076,0,1/3/2020,0.65
6,ucf-houston,houston,houston,0.685085,1,1/3/2020,0.69
7,stpeters-iona,stpeters,iona,0.622799,0,1/3/2020,0.62
8,quinnipiac-marist,marist,quinnipiac,0.735611,0,1/3/2020,0.74
9,rutgers-nebraska,rutgers,nebraska,0.72159,0,1/3/2020,0.72
10,fairfiield-niagara,niagara,niagara,0.812672,1,1/3/2020,0.81
11,wrightst-oakland,wrightst,oakland,0.510073,0,1/3/2020,0.51
12,wisconsin-ohiost,wisconsin,ohiost,0.537636,0,1/3/2020,0.54
13,georgetown-setonhall,setonhall,setonhall,0.601584,1,1/3/2020,0.6
14,monmouth-siena,monmouth,siena,0.688616,0,1/3/2020,0.69
15,temple-tulsa,tulsa,tulsa,0.84714,1,1/3/2020,0.85
16,iupui-uwmilwaukee,iupui,uwmilwaukee,0.68536,0,1/3/2020,0.69
17,georgiasouthern-appalachianst,appalachianst,georgiasouthern,0.653507,0,1/4/2020,0.65
18,arizonast-arizona,arizona,arizona,0.811629,1,1/4/2020,0.81
19,texasam-arkansas,texasam,texasam,0.629078,1,1/4/2020,0.63
20,texasarlington-arkansaslittlerock,arkansaslittlerock,texasarlington,0.56894,0,1/4/2020,0.57
21,texasst-arkansasst,arkansasst,arkansasst,0.833518,1,1/4/2020,0.83
22,tennesseemartin-austinpeay,austinpeay,tennesseemartin,0.6058,0,1/4/2020,0.61
23,texas-baylor,baylor,baylor,0.645578,1,1/4/2020,0.65
24,easternillinois-belmont,belmont,easternillinois,0.679057,0,1/4/2020,0.68
