"","Game","total.result","total.pred","total.conf","TResult","Date","Round"
"1","toledo-ballst","Under","Over",0.609326,0,0001-03-20,0.61
"2","kentst-bowlinggreen","Under","Over",0.655417,0,0001-03-20,0.66
"3","manhattan-canisius","Over","Under",0.655538,0,0001-03-20,0.66
"4","northernkentucky-detroit","Under","Under",0.808402,1,0001-03-20,0.81
"5","delaware-drexel","Under","Under",0.765074,1,0001-03-20,0.77
"6","ucf-houston","Over","Over",0.511869,1,0001-03-20,0.51
"7","stpeters-iona","Over","Under",0.772092,0,0001-03-20,0.77
"8","quinnipiac-marist","Under","Under",0.683336,1,0001-03-20,0.68
"9","rutgers-nebraska","Under","Over",0.600501,0,0001-03-20,0.6
"10","fairfiield-niagara","Over","Under",0.8366,0,0001-03-20,0.84
"11","wrightst-oakland","Over","Under",0.628591,0,0001-03-20,0.63
"12","wisconsin-ohiost","Under","Over",0.76673,0,0001-03-20,0.77
"13","georgetown-setonhall","Under","Over",0.644329,0,0001-03-20,0.64
"14","monmouth-siena","Over","Under",0.58448,0,0001-03-20,0.58
"15","temple-tulsa","Under","Over",0.559452,0,0001-03-20,0.56
"16","iupui-uwmilwaukee","Over","Under",0.643336,0,0001-03-20,0.64
"17","georgiasouthern-appalachianst","Over","Under",0.537027,0,0001-04-20,0.54
"18","arizonast-arizona","Under","Over",0.86433,0,0001-04-20,0.86
"19","texasam-arkansas","Over","Over",0.725256,1,0001-04-20,0.73
"20","texasarlington-arkansaslittlerock","Over","Under",0.723439,0,0001-04-20,0.72
"21","texasst-arkansasst","Over","Under",0.501399,0,0001-04-20,0.5
"22","tennesseemartin-austinpeay","Under","Under",0.67569,1,0001-04-20,0.68
"23","texas-baylor","Under","Over",0.746519,0,0001-04-20,0.75
"24","easternillinois-belmont","Under","Under",0.502015,1,0001-04-20,0.5
"25","northernillinois-buffalo","Under","Over",0.546686,0,0001-04-20,0.55
"26","creighton-butler","Under","Over",0.642167,0,0001-04-20,0.64
"27","loyolamarymount-byu","Under","Under",0.589157,1,0001-04-20,0.59
"28","nmsu-calbaptist","Over","Over",0.755194,1,0001-04-20,0.76
"29","miamioh-centralmichigan","Over","Over",0.577555,1,0001-04-20,0.58
"30","mtsu-charlotte","Under","Under",0.601425,1,0001-04-20,0.6
"31","seattle-chicagost","Under","Under",0.96695,1,0001-04-20,0.97
"32","ncst-clemson","Over","Under",0.63288,0,0001-04-20,0.63
"33","youngstownst-clevelandst","Over","Under",0.900265,0,0001-04-20,0.9
"34","georgiast-coastalcarolina","Under","Under",0.517759,1,0001-04-20,0.52
"35","jamesmadison-charleston","Over","Under",0.813117,0,0001-04-20,0.81
"36","wyoming-coloradost","Over","Under",0.816249,0,0001-04-20,0.82
"37","providence-depaul","Under","Over",0.53951,0,0001-04-20,0.54
"38","indianast-drake","Over","Over",0.589033,1,0001-04-20,0.59
"39","jacksonvillest-easternkentucky","Over","Under",0.799534,0,0001-04-20,0.8
"40","akron-easternmichigan","Under","Over",0.656069,0,0001-04-20,0.66
"41","portlandst-easternwashington","Under","Over",0.528652,0,0001-04-20,0.53
"42","valparaiso-evansville","Over","Under",0.561272,0,0001-04-20,0.56
"43","alabama-florida","Over","Over",0.665362,1,0001-04-20,0.67
"44","utep-floridaatlantic","Under","Under",0.658182,1,0001-04-20,0.66
"45","utsa-floridainternational","Over","Under",0.613043,0,0001-04-20,0.61
"46","sanjosest-fresnost","Over","Under",0.777795,0,0001-04-20,0.78
