,Game,winner,winner.pred,winner.conf,WResult,Date
1,toledo-ballst,ballst,toledo,0.657254,0,1/3/2020
2,kentst-bowlinggreen,kentst,bowlinggreen,0.502369,0,1/3/2020
3,manhattan-canisius,manhattan,canisius,0.869841,0,1/3/2020
4,northernkentucky-detroit,detroit,northernkentucky,0.540841,0,1/3/2020
5,delaware-drexel,drexel,delaware,0.707297,0,1/3/2020
6,ucf-houston,houston,houston,0.923393,1,1/3/2020
7,stpeters-iona,stpeters,iona,0.847607,0,1/3/2020
8,quinnipiac-marist,quinnipiac,quinnipiac,0.854191,1,1/3/2020
9,rutgers-nebraska,rutgers,nebraska,0.563733,0,1/3/2020
10,fairfiield-niagara,niagara,niagara,0.761655,1,1/3/2020
11,wrightst-oakland,wrightst,wrightst,0.604324,1,1/3/2020
12,wisconsin-ohiost,wisconsin,ohiost,0.739959,0,1/3/2020
13,georgetown-setonhall,setonhall,setonhall,0.767954,1,1/3/2020
14,monmouth-siena,siena,siena,0.848407,1,1/3/2020
15,temple-tulsa,tulsa,tulsa,0.797025,1,1/3/2020
16,iupui-uwmilwaukee,uwmilwaukee,uwmilwaukee,0.86558,1,1/3/2020
17,georgiasouthern-appalachianst,appalachianst,georgiasouthern,0.611743,0,1/4/2020
18,arizonast-arizona,arizona,arizona,0.94954,1,1/4/2020
19,texasam-arkansas,arkansas,arkansas,0.770792,1,1/4/2020
20,texasarlington-arkansaslittlerock,arkansaslittlerock,texasarlington,0.537523,0,1/4/2020
21,texasst-arkansasst,texasst,arkansasst,0.744464,0,1/4/2020
22,tennesseemartin-austinpeay,austinpeay,austinpeay,0.706871,1,1/4/2020
23,texas-baylor,baylor,baylor,0.853964,1,1/4/2020
24,easternillinois-belmont,belmont,belmont,0.642881,1,1/4/2020
25,northernillinois-buffalo,northernillinois,buffalo,0.869953,0,1/4/2020
26,creighton-butler,butler,creighton,0.503,0,1/4/2020
27,loyolamarymount-byu,byu,byu,0.861365,1,1/4/2020
28,nmsu-calbaptist,nmsu,calbaptist,0.724791,0,1/4/2020
