"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","utah-colorado",74.2547561059828,74.6992616829203,0.444505576937545,0.484712,0.515288,0.716789,0.283211,148.954017788903,0.682027,0.317973,0.492529,0.189498,0.22426,0.093713,0.340697,0.34133,0.144015,0.173958,139.5,8,315,-345
"2","wichitast-connecticut",68.5390223810192,68.7652442306991,0.226221849679852,0.493217,0.506783,0.426549,0.573451,137.304266611718,0.580292,0.419708,0.25216,0.328132,0.174389,0.245319,0.288974,0.291318,0.204243,0.215465,133,-2,-135,125
"3","niagara-iona",60.0156118043778,68.7448339663039,8.72922216192619,0.260442,0.739558,0.498898,0.501102,128.760445770682,0.147871,0.852129,0.061731,0.08614,0.437167,0.414962,0.033386,0.114485,0.227056,0.625073,147,8.5,375,-420
"4","northernkentucky-iupui",60.739637497105,61.5989137866231,0.859276289518089,0.471122,0.528878,0.258441,0.741559,122.338551283728,0.125773,0.874227,0.045908,0.079865,0.212533,0.661694,0.069972,0.055801,0.40115,0.473077,141,-7,-290,260
"5","siena-manhattan",59.9071907734321,60.8961491278257,0.988958354393564,0.470027,0.529973,0.40334,0.59666,120.803339901258,0.266564,0.733436,0.10094,0.165624,0.3024,0.431036,0.116782,0.149782,0.353245,0.380191,130,-2,-127,117
"6","rider-marist",60.9533966357111,52.8563523047986,-8.09704433091249,0.769712,0.230288,0.48732,0.51268,113.80974894051,0.137702,0.862298,0.071825,0.065877,0.415495,0.446803,0.105313,0.032389,0.664399,0.197899,130,-8.5,-375,335
"7","pittsburgh-miamifl",60.3239886245489,64.3315290337453,4.00754040919635,0.36561,0.63439,0.467552,0.532448,124.655517658294,0.156113,0.843887,0.065974,0.090139,0.401578,0.442309,0.052303,0.10381,0.313307,0.53058,140.5,3,140,-150
"8","michigan-minnesota",74.7974299766743,73.1469927720866,-1.65043720458767,0.544936,0.455064,0.587335,0.412665,147.944422748761,0.635517,0.364483,0.388398,0.247119,0.198937,0.165546,0.362645,0.272872,0.182291,0.182192,140.5,1.5,110,-120
"9","arizona-oregonst",74.5538113784526,81.4012721727439,6.84746079429135,0.298492,0.701508,0.202181,0.797819,155.955083551197,0.669041,0.330959,0.136051,0.53299,0.06613,0.264829,0.198818,0.470223,0.099674,0.231285,147,-4,-170,160
"10","michiganst-purdue",75.126685145941,64.0504552341646,-11.0762299117764,0.822327,0.177673,0.693124,0.306876,139.177140380106,0.528685,0.471315,0.373759,0.154926,0.319365,0.15195,0.437008,0.091677,0.385319,0.085996,137,-5,-165,155
"11","monmouth-quinnipiac",60.323566675929,75.5020220090985,15.1784553331695,0.140554,0.859446,0.184579,0.815421,135.825588685027,0.355917,0.644083,0.053672,0.302245,0.130907,0.513176,0.041257,0.31466,0.099297,0.544786,141.5,2.5,130,-140
"12","canisius-stpeters",54.6609729051106,64.9260555682377,10.2650826631271,0.210662,0.789338,0.272117,0.727883,119.587028473348,0.207499,0.792501,0.051219,0.15628,0.220898,0.571603,0.040517,0.166982,0.170145,0.622356,132.5,2.5,125,-135
"13","memphis-southflorida",66.8719575398916,66.3100615558436,-0.561895984047965,0.516885,0.483115,0.36415,0.63585,133.182019095735,0.445545,0.554455,0.177429,0.268116,0.186721,0.367734,0.241574,0.203971,0.275311,0.279144,134.5,-5,-170,160
"14","wrightst-illinoischicago",75.7381409531925,63.4688063420341,-12.2693346111584,0.829433,0.170567,0.687573,0.312427,139.206947295227,0.338263,0.661737,0.231747,0.106516,0.455826,0.205911,0.276266,0.061997,0.553167,0.10857,145.5,-6,-240,220
"15","wrightst-illinoischicago",75.7381409531925,63.4688063420341,-12.2693346111584,0.829433,0.170567,0.687573,0.312427,139.206947295227,0.338263,0.661737,0.231747,0.106516,0.455826,0.205911,0.276266,0.061997,0.553167,0.10857,145.5,-6,-240,220
