"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","utahst-airforce",71.573494591499,78.5950181770741,7.02152358557509,0.297755,0.702245,0.118925,0.881075,150.168512768573,0.544867,0.455133,0.064567,0.4803,0.054358,0.400775,0.155791,0.389076,0.141964,0.313169,147,-8.5,-315,285
"2","westernmichigan-akron",69.7788445948064,80.5327613991832,10.7539168043768,0.229742,0.770258,0.525715,0.474285,150.31160599399,0.706246,0.293754,0.353741,0.352505,0.171974,0.12178,0.155436,0.55081,0.074306,0.219448,139,11.5,568,-700
"3","buffalo-ballst",75.5173587620043,75.2111833325153,-0.306175429488952,0.508664,0.491336,0.611229,0.388771,150.72854209452,0.539409,0.460591,0.318274,0.221135,0.292955,0.167636,0.266229,0.27318,0.242435,0.218156,147.5,4,165,-175
"4","virginia-bostoncollege",48.7803458720931,47.6476811401471,-1.132664731946,0.544904,0.455096,0.239064,0.760936,96.4280270122402,0.132974,0.867026,0.041313,0.091661,0.197751,0.669275,0.076996,0.055978,0.467908,0.399118,111.5,-8.5,-400,355
"5","miamioh-bowlinggreen",69.781487080825,76.183313206799,6.40182612597404,0.322633,0.677367,0.543777,0.456223,145.964800287624,0.464322,0.535678,0.260884,0.203438,0.282893,0.252785,0.16398,0.300342,0.158653,0.377025,146.5,8,315,-345
"6","northernillinois-centralmichigan",64.3753556936162,87.5565718524406,23.1812161588245,0.046158,0.953842,0.086393,0.913607,151.931927546057,0.517777,0.482223,0.044935,0.472842,0.041458,0.440765,0.025043,0.492734,0.021115,0.461108,150,4.5,175,-190
"7","villanova-creighton",78.1338513285691,72.7826165965022,-5.35123473206694,0.640124,0.359876,0.689947,0.310053,150.916467925071,0.535877,0.464123,0.385725,0.150152,0.304222,0.159901,0.361427,0.17445,0.278697,0.185426,148,2,115,-125
"8","loyolachicago-drake",59.8635129070258,74.3399272669782,14.4764143599524,0.138054,0.861946,0.164638,0.835362,134.203440174004,0.537312,0.462688,0.082431,0.454881,0.082207,0.380481,0.069685,0.467627,0.068369,0.394319,131.5,1.5,110,-120
"9","southflorida-eastcarolina",56.5452047955805,67.5875279953197,11.0423231997392,0.178395,0.821605,0.113423,0.886577,124.1327327909,0.23797,0.76203,0.035173,0.202797,0.07825,0.68378,0.051453,0.186517,0.126942,0.635088,135,-3.5,-155,145
"10","kentucky-georgia",79.6615137877663,82.1260141101038,2.46450032233754,0.427682,0.572318,0.304724,0.695276,161.78752789787,0.829962,0.170038,0.252191,0.577771,0.052533,0.117505,0.352455,0.477507,0.075227,0.094811,143,-4.5,-160,150
"11","missourist-illinoisst",53.7088002053968,58.7872493824953,5.07844917709849,0.325945,0.674055,0.409659,0.590341,112.496049587892,0.16361,0.83639,0.070692,0.092918,0.338967,0.497423,0.058641,0.104969,0.267304,0.569086,127,2.5,130,-140
"12","tcu-kansasst",67.681576618502,63.1649479263203,-4.51662869218177,0.62683,0.37317,0.6554,0.3446,130.846524544822,0.595952,0.404048,0.403696,0.192256,0.251704,0.152344,0.388213,0.207739,0.238617,0.165431,125.5,1,-105,-105
"13","toledo-kentst",72.2877610851458,87.4930917272303,15.2053306420845,0.14944,0.85056,0.210784,0.789216,159.780852812376,0.77741,0.22259,0.159497,0.617913,0.051287,0.171303,0.11357,0.66384,0.03587,0.18672,144,3.5,155,-165
"14","miamifl-louisville",66.1135359508382,73.3585383920664,7.24500244122825,0.28213,0.71787,0.715868,0.284132,139.472074342905,0.353366,0.646634,0.252016,0.10135,0.463852,0.182782,0.11072,0.242646,0.17141,0.475224,145,14.5,800,-1000
"15","providence-marquette",62.0800353688228,80.9998479517245,18.9198125829017,0.084413,0.915587,0.166121,0.833879,143.079883320547,0.444976,0.555024,0.06361,0.381366,0.102511,0.452513,0.032912,0.412064,0.051501,0.503523,144.5,5.5,215,-235
"16","ohiost-maryland",72.9162184233709,73.7820360636662,0.865817640295335,0.469125,0.530875,0.577546,0.422454,146.698254487037,0.719092,0.280908,0.430939,0.288153,0.146607,0.134301,0.355654,0.363438,0.113471,0.167437,135.5,3.5,130,-140
"17","tennessee-missouri",60.4742314389546,63.2571928240859,2.78296138513131,0.404342,0.595658,0.575862,0.424138,123.731424263041,0.5071,0.4929,0.295402,0.211698,0.28046,0.21244,0.212948,0.294152,0.191394,0.301506,122.5,5,185,-200
"18","iowa-nebraska",81.0935212456957,70.7618595573833,-10.3316616883124,0.773642,0.226358,0.551692,0.448308,151.855380803079,0.381114,0.618886,0.223142,0.157972,0.32855,0.290336,0.298759,0.082355,0.474883,0.144003,156.5,-8.5,-390,348
"19","fresnost-newmexico",69.0032620450235,77.963509173789,8.96024712876557,0.261025,0.738975,0.427625,0.572375,146.966771218813,0.60279,0.39721,0.280403,0.322387,0.147222,0.249988,0.179753,0.423037,0.081272,0.315938,141,6.5,248,-270
"20","indianast-northerniowa",69.7273661945503,81.7806915111976,12.0533253166473,0.195919,0.804081,0.373701,0.626299,151.508057705748,0.767905,0.232095,0.27488,0.493025,0.098821,0.133274,0.144713,0.623192,0.051206,0.180889,137,7.5,295,-325
"21","easternmichigan-ohio",51.7417741272157,70.6671319895433,18.9253578623276,0.070789,0.929211,0.140042,0.859958,122.408906116759,0.393171,0.606829,0.048884,0.344287,0.091158,0.515671,0.02543,0.367741,0.045359,0.56147,126,5,190,-210
"22","rider-quinnipiac",68.4559675870085,84.1694209494538,15.7134533624453,0.154565,0.845435,0.118378,0.881622,152.625388536462,0.518087,0.481913,0.047522,0.470565,0.070856,0.411057,0.062751,0.455336,0.091814,0.390099,150.5,-2.5,-140,130
"23","pennst-rutgers",78.1524558667332,78.6980920386912,0.545636171957987,0.484203,0.515797,0.440637,0.559363,156.850547905424,0.811623,0.188377,0.364612,0.447011,0.076025,0.112352,0.399368,0.412255,0.084835,0.103542,139.5,-1.5,-125,115
"24","florida-southcarolina",68.4379954535651,65.6919761753329,-2.74601927823224,0.591724,0.408276,0.439232,0.560768,134.129971628898,0.418748,0.581252,0.198279,0.220469,0.240953,0.340299,0.258143,0.160605,0.333581,0.247671,136.5,-4.5,-185,170
"25","valparaiso-southernillinois",58.2695495651227,64.9594443887139,6.68989482359118,0.292963,0.707037,0.367328,0.632672,123.228993953837,0.224254,0.775746,0.083257,0.140997,0.284071,0.491675,0.068319,0.155935,0.224644,0.551102,135,2.5,130,-140
"26","virginiatech-syracuse",67.357255726555,74.3988713459435,7.04161561938849,0.31131,0.68869,0.425529,0.574471,141.756127072499,0.605701,0.394299,0.275833,0.329868,0.149696,0.244603,0.208935,0.396766,0.102375,0.291924,135.5,4.5,170,-185
"27","houston-temple",73.5866389306699,63.4060604200835,-10.1805785105864,0.795592,0.204408,0.734596,0.265404,136.992699350753,0.52323,0.47677,0.38666,0.13657,0.347936,0.128834,0.416653,0.106577,0.378939,0.097831,135,-2.5,-140,130
