"","School","Nickname","Conference","Location","Home Venue"
"1","Abilene Christian","Wildcats","Southland","Abilene, TX","Moody Coliseum"
"2","Air Force","Falcons","MWC","Colorado Springs, CO","Clune Arena"
"3","Akron","Zips","MAC","Akron, OH","James A. Rhodes Arena"
"4","Alabama","Crimson Tide","SEC","Tuscaloosa, AL","Coleman Coliseum"
"5","Alabama A&M","Bulldogs","SWAC","Normal, AL","Elmore Gymnasium"
"6","Alabama State","Hornets","SWAC","Montgomery, AL","Dunn-Oliver Acadome"
"7","Albany","Great Danes","AM East","Albany, NY","SEFCU Arena"
"8","Alcorn State","Braves","SWAC","Lorman, MS","Davey Whitney Complex"
"9","American University","Eagles","Patriot","Washington, DC","Bender Arena"
"10","Appalachian State","Mountaineers","Sun Belt","Boone, NC","George M. Holmes Convocation Center"
"11","Arizona","Wildcats","Pac-12","Tucson, AZ","McKale Center"
"12","Arizona State","Sun Devils","Pac-12","Tempe, AZ","Wells Fargo Arena"
"13","Arkansas","Razorbacks","SEC","Fayetteville, AR","Bud Walton Arena"
"14","Arkansas State","Red Wolves","Sun Belt","Jonesboro, AR","First National Bank Arena"
"15","Arkansas-Pine Bluff","Golden Lions","SWAC","Pine Bluff, AR","H.O. Clemmons Arena"
"16","Army","Black Knights","Patriot","West Point, NY","Christl Arena"
"17","Auburn","Tigers","SEC","Auburn, AL","Auburn Arena"
"18","Austin Peay","Governors","OVC","Clarksville, TN","Dave Aaron Arena"
"19","Ball State","Cardinals","MAC","Muncie, IN","John E. Worthen Arena"
"20","Baylor","Bears","Big 12","Waco, TX","Ferrell Center"
"21","Bellarmine","Knights","A-Sun","N/A","N/A"
"22","Belmont","Bruins","OVC","Nashville, TN","Curb Event Center"
"23","Bethune-Cookman","Wildcats","MEAC","Daytona Beach, FL","Moore Gymnasium"
"24","Binghamton","Bearcats","AM East","Vestal, NY","Binghamton University Events Center"
"25","Boise State","Broncos","MWC","Boise, ID","ExtraMile Arena"
"26","Boston College","Eagles","ACC","Chestnut Hill, MA","Conte Forum"
"27","Boston University","Terriers","Patriot","Boston, MA","Agganis Arena"
"28","Bowling Green","Falcons","MAC","Bowling Green, OH","Stroh Center"
"29","Bradley","Braves","MVC","Peoria, IL","Carver Arena"
"30","Brigham Young","Cougars","WCC","Provo, UT","Marriott Center"
"31","Brown","Bears","Ivy","Providence, RI","Pizzitola Sports Center"
"32","Bryant","Bulldogs","NEC","Smithfield, RI","Chace Athletic Center"
"33","Bucknell","Bison","Patriot","Lewisburg, PA","Sojka Pavilion"
"34","Buffalo","Bulls","MAC","Buffalo, NY","Alumni Arena"
"35","Butler","Bulldogs","Big East","Indianapolis, IN","Hinkle Fieldhouse"
"36","Cal Poly","Mustangs","Big West","San Luis Obispo, CA","Mott Gym"
"37","Cal State Bakersfield","Roadrunners","Big West","Bakersfield, CA","Rabobank Arena"
"38","Cal State Fullerton","Titans","Big West","Fullerton, CA","Titan Gym"
"39","Cal State Northridge","Matadors","Big West","Northridge, CA","Matadome"
"40","California","Golden Bears","Pac-12","Berkeley, CA","Haas Pavilion"
"41","California Baptist","Lancers","WAC","Riverside, CA","CBU Events Center"
"42","Campbell","Fighting Camels","Big South","Buies Creek, NC","John W. Pope Jr. Convocation Center"
"43","Canisius","Golden Griffins","MAAC","Buffalo, NY","Koessler Athletic Center"
"44","Central Arkansas","Bears","Southland","Conway, AR","Farris Center"
"45","Central Connecticut State","Blue Devils","NEC","New Britain, CT","William H. Detrick Gymnasium"
"46","Central Michigan","Chippewas","MAC","Mount Pleasant, MI","McGuirk Arena"
"47","Charleston","Cougars","CAA","Charleston, SC","TD Arena"
"48","Charleston Southern","Buccaneers","Big South","North Charleston, SC","CSU Field House"
"49","Charlotte","49ers","C-USA","Charlotte, NC","Dale F. Halton Arena"
"50","Chattanooga","Mocs","SoCon","Chattanooga, TN","McKenzie Arena"
"51","Chicago State","Cougars","WAC","Chicago, IL","Emil and Patricia Jones Convocation Center"
"52","Cincinnati","Bearcats","AAC","Cincinnati, OH","Fifth Third Arena"
"53","Citadel","Bulldogs","SoCon","Charleston, SC","McAlister Field House"
"54","Clemson","Tigers","ACC","Clemson, SC","Littlejohn Coliseum"
"55","Cleveland State","Vikings","Horizon","Cleveland, OH","Wolstein Center"
"56","Coastal Carolina","Chanticleers","Sun Belt","Conway, SC","The HTC Center"
"57","Colgate","Raiders","Patriot","Hamilton, NY","Cotterell Court"
"58","Colorado","Buffaloes","Pac-12","Boulder, CO","Coors Events Center"
"59","Colorado State","Rams","MWC","Fort Collins, CO","Moby Arena"
"60","Columbia","Lions","Ivy","New York, NY","Levien Gymnasium"
"61","Connecticut","Huskies","Big East","Storrs, CT","Harry A. Gampel Pavilion"
"62","Coppin State","Eagles","MEAC","Baltimore, MD","Physical Education Complex"
"63","Cornell","Big Red","Ivy","Ithaca, NY","Newman Arena"
"64","Creighton","Bluejays","Big East","Omaha, NE","CenturyLink Center Omaha"
"65","Dartmouth","Big Green","Ivy","Hanover, NH","Leede Arena"
"66","Davidson","Wildcats","A-10","Davidson, NC","John M. Belk Arena"
"67","Dayton","Flyers","A-10","Dayton, OH","University of Dayton Arena"
"68","Delaware","Fightin Blue Hens","CAA","Newark, DE","Bob Carpenter Center"
"69","Delaware State","Hornets","MEAC","Dover, DE","Memorial Hall"
"70","Denver","Pioneers","Summit","Denver, CO","Magness Arena"
"71","DePaul","Blue Demons","Big East","Chicago, IL","Wintrust Arena"
"72","Detroit-Mercy","Titans","Horizon","Detroit, MI","Calihan Hall"
"73","Dixie State","Red Storm","WAC","N/A","N/A"
"74","Drake","Bulldogs","MVC","Des Moines, IA","Knapp Center"
"75","Drexel","Dragons","CAA","Philadelphia, PA","Daskalakis Athletic Center"
"76","Duke","Blue Devils","ACC","Durham, NC","Cameron Indoor Stadium"
"77","Duquesne","Dukes","A-10","Pittsburgh, PA","A.J. Palumbo Center"
"78","East Carolina","Pirates","AAC","Greenville, NC","Williams Arena at Minges Coliseum"
"79","East Tennessee State","Buccaneers","SoCon","Johnson City, TN","Freedom Hall Civic Center"
"80","Eastern Illinois","Panthers","OVC","Charleston, IL","Lantz Arena"
"81","Eastern Kentucky","Colonels","OVC","Richmond, KY","McBrayer Arena"
"82","Eastern Michigan","Eagles","MAC","Ypsilanti, MI","Convocation Center"
"83","Eastern Washington","Eagles","Big Sky","Cheney, WA","Reese Court"
"84","Elon","Phoenix","CAA","Elon, NC","Schar Center"
"85","Evansville","Aces","MVC","Evansville, IN","Ford Center"
"86","Fairfield","Stags","MAAC","Bridgeport, CT","Webster Bank Arena"
"87","Fairleigh Dickinson","Knights","NEC","Hackensack, NJ","Rothman Center"
"88","Florida","Gators","SEC","Gainesville, FL","Exactech Arena"
"89","Florida A&M","Rattlers","MEAC","Tallahassee, FL","Alfred Lawson Center"
"90","Florida Atlantic","Owls","C-USA","Boca Raton, FL","FAU Arena"
"91","Florida Gulf Coast","Eagles","A-Sun","Fort Myers, FL","Alico Arena"
"92","Florida International","Golden Panthers","C-USA","Miami, FL","Ocean Bank Convocation Center"
"93","Florida State","Seminoles","ACC","Tallahassee, FL","Donald L. Tucker Center"
"94","Fordham","Rams","A-10","Bronx, NY","Rose Hill Gymnasium"
"95","Fort Wayne","Mastodons","Horizon","Fort Wayne, IN","Hilliard Gates Sports Center"
"96","Fresno State","Bulldogs","MWC","Fresno, CA","Save Mart Center"
"97","Furman","Paladins","SoCon","Greenville, SC","Timmons Arena"
"98","Gardner-Webb","Runnin' Bulldogs","Big South","Boiling Springs, NC","Paul Porter Arena"
"99","George Mason","Patriots","A-10","Fairfax, VA","EagleBank Arena"
"100","George Washington","Colonials","A-10","Washington, DC","Charles E. Smith Athletic Center"
"101","Georgetown","Hoyas","Big East","Washington, DC","Capital One Arena"
"102","Georgia","Bulldogs","SEC","Athens, GA","Stegeman Coliseum"
"103","Georgia Southern","Eagles","Sun Belt","Statesboro, GA","Hanner Fieldhouse"
"104","Georgia State","Panthers","Sun Belt","Atlanta, GA","GSU Sports Arena"
"105","Georgia Tech","Yellow Jackets","ACC","Atlanta, GA","McCamish Pavilion"
"106","Gonzaga","Bulldogs","WCC","Spokane, WA","McCarthey Athletic Center"
"107","Grambling State","Tigers","SWAC","Grambling, LA","GSU Assembly Center"
"108","Grand Canyon","Antelopes","WAC","Phoenix, AZ","GCU Arena"
"109","Green Bay","Phoenix","Horizon","Ashwaubenon, WI","Resch Center"
"110","Hampton","Pirates","Big South","Hampton, VA","Hampton Convocation Center"
"111","Hartford","Hawks","AM East","Hartford, CT","Chase Arena"
"112","Harvard","Crimson","Ivy","Boston, MA","Lavietes Pavilion"
"113","Hawaii","Warriors","Big West","Honolulu, HI","Stan Sheriff Center"
"114","High Point","Panthers","Big South","High Point, NC","Millis Athletic Convocation Center"
"115","Hofstra","Pride","CAA","Hempstead, NY","David S. Mack Sports Complex"
"116","Holy Cross","Crusaders","Patriot","Worcester, MA","Hart Center"
"117","Houston","Cougars","AAC","Houston, TX","Fertitta Center"
"118","Houston Baptist","Huskies","Southland","Houston, TX","Sharp Gymnasium"
"119","Howard","Bison","MEAC","Washington, DC","Burr Gymnasium"
"120","Idaho","Vandals","Big Sky","Moscow, ID","Kibbie Dome"
"121","Idaho State","Bengals","Big Sky","Pocatello, ID","Holt Arena"
"122","Illinois","Fighting Illini","Big Ten","Champaign, IL","State Farm Center"
"123","Illinois State","Redbirds","MVC","Normal, IL","Redbird Arena"
"124","Illinois-Chicago","Flames","Horizon","Chicago, IL","UIC Pavilion"
"125","Incarnate Word","Cardinals","Southland","San Antonio, TX","McDermott Convocation Center"
"126","Indiana","Hoosiers","Big Ten","Bloomington, IN","Assembly Hall"
